real,imag,frequencies
5919.90084073586,-15.794826681804063,0.1
5919.886071535541,-16.93023804025305,0.10718913192051278
5919.869102662913,-18.147252565548893,0.11489510001873092
5919.84960654335,-19.45173147958781,0.12315506032928256
5919.827206831664,-20.849956139624812,0.1320088400831418
5919.8014711547285,-22.348657956362434,0.1414991297434576
5919.771902775355,-23.95505039671343,0.15167168884709228
5919.737931017471,-25.676863205803723,0.16257556664437942
5919.698900269045,-27.52237898891937,0.174263338600965
5919.654057352175,-29.500472299866225,0.18679135990207824
5919.602537018768,-31.620651387386275,0.20022003718155845
5919.543345294814,-33.8931027555894,0.21461411978584047
5919.47534035569,-36.3287386974684,0.2300430119772918
5919.397210568532,-38.93924796203376,0.24658110758226026
5919.307449284749,-41.737149714891046,0.2643081486974105
5919.204325905225,-44.73585094850585,0.2833096101839324
5919.085852671749,-47.94970749111566,0.3036771118035459
5918.949746559682,-51.39408875120273,0.3255088599835058
5918.793385557318,-55.085446316336046,0.3489101213406772
5918.6137585159595,-59.04138649941606,0.3739937302478797
5918.407407639453,-63.28074688993197,0.40088063288984654
5918.170362551744,-67.82367692032722,0.42970047043208404
5917.8980647339,-72.69172239497556,0.46059220411451074
5917.585280956703,-77.90791384792986,0.4937047852839001
5917.226004149452,-83.49685849105094,0.529197873595844
5916.813339938667,-89.48483538089634,0.5672426068491978
5916.339376860483,-95.89989326423985,0.6080224261649424
5915.795037996937,-102.77195035028645,0.6517339604882425
5915.1699115086,-110.13289499288926,0.6985879746785245
5914.4520572348465,-118.0166859367735,0.748810385759002
5913.627786210427,-126.45945037407641,0.8026433522257174
5912.681409607011,-135.49957755499378,0.8603464416684504
5911.59495325748,-145.17780507959964,0.9221978823334329
5910.347833569503,-155.53729424436017,0.9884959046625581
5908.91649029868,-166.62368990033994,1.0595601792776157
5907.273971352188,-178.48515917080732,1.1357333583431055
5905.389464562299,-191.17240204052865,1.2173827277396614
5903.227771247388,-204.7386252310331,1.3049019780144027
5900.74871642286,-219.23946887698787,1.398713102647238
5897.906490810898,-234.73287327975297,1.4992684327860453
5894.64892042456,-251.27887039924602,1.6070528182616393
5890.916660594987,-268.93928172610526,1.722585965398786
5886.6423130312405,-287.77730073921515,1.8464249428955435
5881.749467051455,-307.8569343104682,1.9791668678535563
5876.1516697472225,-329.24227322020374,2.121451784910631
5869.751334835616,-351.9965575033773,2.273965752357929
5862.4386066575025,-376.1809978538208,2.4374441501222197
5854.0902045818275,-401.8533100863611,2.612675225563328
5844.5682843819295,-429.06591616866757,2.8005038941836293
5833.71936736122,-457.8637632694848,3.0018358135755907
5821.37340545479,-488.28171257175387,3.2176417502507353
5807.3430713988,-520.3414535250116,3.4489622604057573
5791.4233872340255,-554.0479083693633,3.6969127071950285
5773.391831321922,-589.3851081200876,3.962688638701476
5753.009092431995,-626.3115470321962,4.2475715525369
5730.020667061342,-664.7550603040287,4.552935074866948
5704.159519442335,-704.6073217351644,4.88025158365443
5675.150037598145,-745.7181259193969,5.2310993080562636
5642.713516522188,-787.889703684033,5.607169938205455
5606.5753726877,-830.8714179276342,6.010276782070385
5566.474233186529,-874.3552943257826,6.44236350872137
5522.172938559007,-917.9729474566078,6.905513520162326
5473.47134371307,-961.2945520457819,7.401959996915645
5420.220594249208,-1003.8305598365239,7.934096665797488
5362.338302666925,-1045.036849232593,8.504489341802682
5299.823769159711,-1084.3238904466725,9.115888299750823
5232.772118358393,-1121.0702911743144,9.771241535346494
5161.386003929849,-1154.6407470269571,10.473708979594498
5085.983424256735,-1184.4079683151322,11.22667773510813
5007.000250858453,-1209.7776292408437,12.033778407775898
4924.986338078168,-1230.2148554964917,12.898902612533087
4840.59456796818,-1245.2703228988414,13.82622173764655
4754.5628543291705,-1254.6037811203503,14.820207057988586
4667.689902862787,-1258.0028244596424,15.88565129428052
4580.806280859951,-1255.395046219573,17.027691722259004
4494.742955868832,-1246.8523155664952,18.251834943190435
4410.299802026509,-1232.5867238798653,19.563983435170627
4328.216577118609,-1212.938631663821,20.970464013232327
4249.148542059307,-1188.3580588903453,22.47805833548724
4173.648293907226,-1159.3812703981587,24.094035602395255
4102.154629221561,-1126.6047303651408,25.826187606826775
4034.9884803846257,-1090.6586152198197,27.682866303920637
3972.3552936968135,-1052.1818216369945,29.67302408188868
3914.3527273609047,-1011.7999663689956,31.806256927941174
3860.9822750509343,-970.1073456008068,34.09285069746811
3812.1633574736366,-927.6532949152167,36.54383070957258
3767.748529454156,-884.9329358703317,39.171014908092566
3727.538667453965,-842.3819513423842,41.987070844439124
3691.2972750491977,-800.3748110220548,45.005576757005024
3658.76332397291,-759.2257614207666,48.241087041653685
3629.6623021292007,-719.1918794177924,51.70920242896761
3603.715348343428,-680.4775379016579,55.426645206631015
3580.646509596463,-643.2397205311883,59.411339849650304
3560.1882619200373,-607.5937285200239,63.682499447185926
3542.085498011506,-573.618929787349,68.26071834272386
3526.0982122260216,-541.3642995732274,73.168071434272
3512.003116386565,-510.85358615176955,78.42822061337674
3499.5944062524486,-482.0900035617508,84.0665288561833
3488.6838753432676,-455.0604056228206,90.11018251665028
3479.100545254188,-429.7389335848716,96.58832241158699
3470.689953184408,-406.0901558669732,103.53218432956616
3463.313210408386,-384.07173491720135,110.9752496412071
3456.845921138995,-363.6366655467813,118.95340673703183
3451.17703024848,-344.7351331364785,127.50512407130141
3446.2076507428787,-327.3160404970567,136.67163564620074
3441.849907554882,-311.3282501540275,146.49713983072849
3438.0258227978024,-296.72158537113586,157.02901247293758
3434.6662587100095,-283.44762901555333,168.31803533309585
3431.7099277048637,-271.4603548791982,180.41864093920736
3429.10247383923,-260.71662162219883,193.38917504552322
3426.7956262787548,-251.17655529355076,207.29217795953699
3424.746422672925,-242.80384252142727,222.19468609395216
3422.916498508859,-235.5659530023109,238.16855519761558
3421.271437286315,-229.43430686464404,255.29080682395193
3419.780175583951,-224.3843998238749,273.6439997074672
3418.4144566391706,-220.39589675088538,293.31662783900424
3417.148325839741,-217.45270230579717,314.4035471591497
3415.957661447082,-215.54301560131006,337.00643292719315
3414.8197338791356,-214.6593744106022,361.2342699709434
3413.7127869306105,-214.79869318194983,387.20387818125573
3412.6156343668385,-215.96229802491408,415.04047578504725
3411.5072653705943,-218.15596085252656,444.8782831127581
3410.366452332182,-221.3899339635141,476.86116977144644
3409.171354440792,-225.6789854926669,511.14334834401706
3407.8991104536644,-231.0424353111336,547.8901179593945
3406.525413887379,-237.50419008678816,587.2786613189483
3405.024063695633,-245.09277528205533,629.4988990221881
3403.3664832781506,-253.84136083528904,674.75440531107
3401.521200419608,-263.7877761020514,723.2633896483541
3399.4532805066237,-274.9745082815351,775.2597488629465
3397.123705145014,-287.44867697435797,830.9941949353396
3394.488688140544,-301.2619756609458,890.7354638610431
3391.4989207711365,-316.47056870115495,954.7716114208047
3388.0987384432224,-333.1349298800442,1023.4114021054538
3384.2252012902068,-351.3196055061376,1096.985797892384
3379.8070821681426,-371.0928815553983,1175.849554052157
3374.763757001201,-392.52633030466063,1260.3829296797262
3369.003994741678,-415.6942072900137,1350.9935211980278
3362.4246476031367,-440.672664268571,1448.1182276745344
3354.9092470286078,-467.5387382179278,1552.225357427048
3346.326517461885,-496.3690704152745,1663.816886076129
3336.5288288576035,-527.2383035484678,1783.4308769319075
3325.350620511688,-560.2170990309356,1911.6440753856998
3312.606843770211,-595.3697118386374,2049.074689815848
3298.0914900272332,-632.7510571533179,2196.385372416547
3281.576293615624,-672.403203121394,2354.286414322418
3262.8097269988907,-714.3512287781898,2523.5391704347635
3241.5164379902767,-758.5983977705978,2704.959730463137
3217.397314860504,-805.1206195525024,2899.4228538828784
3190.130403540126,-853.8602032702755,3107.866187782014
3159.3729387861276,-904.7189588894968,3331.2947879346734
3124.7647835804282,-957.5507684035971,3570.785964900459
3085.933591501484,-1012.1538396229288,3827.494478516307
3042.5020063933616,-1068.2629667847539,4102.658105827195
2994.0971811752474,-1125.542253784934,4397.603609302721
2940.3628203816415,-1183.5789004003827,4713.753134116724
2880.9738162952326,-1241.8787964581538,5052.631065335675
2815.653346269764,-1299.864793048672,5415.871378079476
2744.192025448311,-1356.878595330091,5805.225516094902
2666.468372183041,-1412.1872137212592,6222.570836730231
2582.469466717737,-1464.9947827778728,6669.9196630301285
2492.3103102296877,-1514.4602786221424,7149.428986597577
2396.250083670131,-1559.721221007855,7663.410868007447
2294.703340197018,-1599.9228468161393,8214.34358491943
2188.244218499481,-1634.251536738069,8804.883581643455
2077.602095913704,-1661.970554859822,9437.878277775382
1963.6477287463147,-1682.4555429792658,10116.37979766207
1847.3698131638334,-1695.2268309222309,10843.65968689611
1729.842939048903,-1699.9755951888922,11623.224686798518
1612.1889435432156,-1696.581282424079,12458.833642950081
1495.5345194472457,-1685.1184942746117,13354.515629299001
1380.9684343665665,-1665.8526033706705,14314.589375234786
1269.5017693027223,-1639.2245655516776,15343.6840893001
1162.0341795339114,-1605.826510769221,16446.761779946628
1059.3283978378445,-1566.3705528951648,17629.141180959516
961.9941917606345,-1521.6537364335259,18896.523396912115
870.4819334787404,-1472.5220992054617,20255.019392306705
785.0850091275456,-1419.8365199681293,21711.179456945054
705.9496023250853,-1364.442443921877,23272.024789604075
633.0899880648951,-1307.1448690384243,24945.081352303165
566.4073611806278,-1248.6892581843974,26738.416158399494
505.71034637587803,-1189.7484132657503,28660.676169482504
450.73561947120504,-1130.9148658685062,30721.12998861753
401.16743426566927,-1072.6980235977355,32929.71255097148
356.65522990326923,-1015.525152216702,35297.07302730643
316.82884221340896,-959.745242146224,37834.62617131933
281.3111313311625,-905.6348677932851,40554.60735840836
249.72805617050003,-853.4052640928247,43470.131581250265
221.71637552654465,-803.2099866978897,46595.256686646775
196.92924470088366,-755.1526682028879,49945.0511585514
175.04001796009672,-709.2945180527091,53535.666774107296
155.7445737281118,-665.6613303158546,57384.416483023924
138.7624627816274,-624.2498581381789,61509.857885804915
123.83714935198653,-585.0334866145272,65931.88271333542
110.73557810253942,-547.9671891442173,70671.81273927506
99.24726146865589,-512.9917891337736,75752.5025877192
89.1830450538153,-480.0375724782417,81198.44993184025
80.37367553110964,-449.02730971135543,87035.91361485166
72.66826667803096,-419.8787527848546,93293.04026284677
65.93273498232111,-392.50667235657,100000.0
